일자,최고기온,평균기온,최저기온,강수량
2015-01-01,7.8,-3.83,-16.3,15.97
2015-02-01,9.33,-2,-16.6,15.9
2015-03-01,20.03,3.46,-11.9,18.3
2015-04-01,25.87,9.27,-1.8,70.57
2015-05-01,30.83,16.44,2.33,21.9
2015-06-01,30.4,18.43,6.13,89.1
2015-07-01,32.17,20.81,10.7,179.8
2015-08-01,32.83,21.71,12.5,82
2015-09-01,25.93,15.94,6.37,44.1
2015-10-01,24.1,10.83,-5.23,45.47
2015-11-01,19.33,5.49,-7.37,155.37
2015-12-01,10.1,-1.05,-12.33,17.33
2016-01-01,8.73,-5.68,-20.8,3.93
2016-02-01,14.83,-2.79,-16.23,36.3
2016-03-01,19.07,3.45,-15.07,31.63
2016-04-01,24.27,10.55,-0.8,98.1
2016-05-01,28.83,15.83,2.47,65.03
2016-06-01,29.47,19.19,5.93,52.63
2016-07-01,31.83,21.82,13.83,469
2016-08-01,34,22.29,9.77,154.17
2016-09-01,27.67,16.1,7.8,99.2
2016-10-01,24.17,12.06,1.2,88.27
2016-11-01,6.57,2.83,-1.57,0.4
2016-12-01,12.57,-1.06,-15.9,57.67
2017-01-01,7.97,-4.66,-18.07,13.47
2017-02-01,9.6,-2.75,-15.17,10.3
2017-03-01,15.23,1.95,-8.37,17.8
2017-04-01,24.97,10.54,-1.83,64.7
2017-05-01,29.47,15.66,3.93,26.37
2017-06-01,31.2,17.8,5.17,100.2
2017-07-01,32.4,22.98,15.1,397.67
2017-08-01,32.5,20.85,10.03,282.37
2017-09-01,27.27,16.13,4.87,62
2017-10-01,23.8,10.7,-3.73,45
2017-11-01,17.2,1.7,-11.1,25.1
2017-12-01,6.23,-4.91,-17.63,11.17
2018-01-01,6.07,-6.88,-21.93,6.07
2018-02-01,7.73,-4.98,-20.87,29.37
2018-03-01,20,4.29,-12.8,68.17
2018-04-01,28.07,9.69,-3.03,128.3
2018-05-01,29.7,14.25,1.7,151.27
2018-06-01,30.83,19.05,8.53,70.97
2018-07-01,34.83,22.95,11.6,252.77
2018-08-01,35.13,23.05,13.43,359.7
2018-09-01,25.77,15.89,4.73,147.6
2018-10-01,20.73,8.47,-3.1,168.4
2018-11-01,18.27,4.18,-7.63,52.27
2018-12-01,12.2,-3.55,-17.07,21.07
2019-01-01,7.1,-4.07,-16.7,2.3
2019-02-01,10.7,-1.68,-13.57,19.93
2019-03-01,16.4,3.46,-6.77,41.57
2019-04-01,24.83,7.99,-5.93,54.33
2019-05-01,31.07,16.13,-1.13,14.1
2019-06-01,30.6,18.14,7.2,132.73
2019-07-01,31.63,21.79,13.7,179.1
2019-08-01,33.07,22.56,13.6,183.47
2019-09-01,28.93,17.71,6.8,228.03
2019-10-01,24.27,11.62,-0.37,125.3
2019-11-01,18.73,4.44,-7.63,64.17
2019-12-01,11.63,-1.02,-13.47,4.4
2020-01-01,11.23,-1.48,-12.07,83
2020-02-01,13.33,-0.87,-18.37,41.73
2020-03-01,21.83,4.05,-7.77,27.17
2020-04-01,22.17,6.84,-6.27,46.83
2020-05-01,27.47,14.74,2.7,115.93
2020-06-01,33.87,20.63,10.33,100.5
2020-07-01,29.83,19.75,10.97,221.3
2020-08-01,32.27,23.44,16.77,419.77
2020-09-01,27.93,16.33,5.67,412.97
2020-10-01,21.4,9.55,-2.27,1.33
2020-11-01,18.9,4.95,-7.1,38.47
2020-12-01,9.07,-3.56,-17.27,4.27
2021-01-01,-2.47,-7.1,-12.67,
